"","Id","EventId","EventMonth","Paid","PayInd","OpenInd"
"87",51,1,15,14503,1,1
"88",51,2,27,15572,1,1
"89",51,3,32,13449,1,0
"90",51,4,38,3831,1,1
"91",51,5,39,0,0,0
"92",52,1,36,5000,1,0
"93",53,1,28,3516,1,0
"94",54,1,3,1771,1,1
"95",54,2,5,3108,1,1
"96",54,3,10,0,0,0
"97",55,1,3,543,1,0
"98",56,1,2,2019,1,1
"99",56,2,12,2093,1,0
"100",57,1,26,6094,1,0
"101",58,1,19,2523,1,0
"102",59,1,6,752,1,1
"103",59,2,18,880,1,0
"104",60,1,11,2000,1,1
"105",60,2,16,1770,1,1
"106",60,3,27,21997,1,1
"107",60,4,29,2192,1,0
"108",61,1,9,3119,1,1
"109",61,2,17,3000,1,1
"110",61,3,22,32176,1,1
"111",61,4,23,3000,1,1
"112",61,5,25,0,0,0
"113",62,1,13,1414,1,1
"114",62,2,23,1587,1,1
"115",62,3,28,1534,1,0
"116",63,1,3,384,1,0
"117",64,1,11,5893,1,0
"118",65,1,15,3560,1,1
"119",65,2,28,3034,1,1
"120",65,3,37,3149,1,0
"121",66,1,10,7028,1,1
"122",66,2,29,6592,1,0
"123",67,1,5,396,1,1
"124",67,2,13,473,1,0
"125",68,1,13,1405,1,1
"126",68,2,18,1599,1,1
"127",68,3,24,1458,1,1
"128",68,4,25,0,0,0
"129",69,1,23,19605,1,1
"130",69,2,52,20818,1,0
"131",70,1,15,3716,1,1
"132",70,2,33,4406,1,1
"133",70,3,48,3214,1,1
"134",70,4,52,-7737,0,0
"135",71,1,15,3209,1,0
"136",72,1,9,2000,1,0
"137",73,1,11,2416,1,1
"138",73,2,23,2227,1,0
"139",74,1,7,15901,1,1
"140",74,2,15,17341,1,0
"141",75,1,4,1188,1,1
"142",75,2,7,1000,1,0
"143",76,1,8,5685,1,0
"144",77,1,9,5821,1,1
"145",77,2,25,5502,1,1
"146",77,3,36,6235,1,0
"147",78,1,11,38474,1,1
"148",78,2,41,45702,1,0
"149",79,1,19,3025,1,1
"150",79,2,35,3841,1,1
"151",79,3,41,35397,1,1
"152",79,4,44,5433,1,0
"153",80,1,13,654,1,0
"154",81,1,19,4769,1,0
"155",82,1,15,1796,1,0
"156",83,1,7,2544,1,0
"157",84,1,35,9782,1,0
"158",85,1,11,2842,1,0
"159",86,1,20,6005,1,1
"160",86,2,29,5891,1,0
"161",87,1,4,26430,1,1
"162",87,2,6,20958,1,1
"163",87,3,7,26682,1,0
"164",88,1,29,7003,1,0
"165",89,1,7,2257,1,1
"166",89,2,10,2297,1,1
"167",89,3,26,2645,1,1
"168",89,4,42,54499,1,1
"169",89,5,44,5339,1,0
"170",89,6,54,0,0,1
"171",89,7,58,14236,1,0
"172",90,1,5,1732,1,0
"173",91,1,2,1770,1,1
"174",91,2,4,1591,1,0
"175",92,1,23,3667,1,0
"176",93,1,9,1178,1,1
"177",93,2,14,1159,1,1
"178",93,3,18,11268,1,1
"179",93,4,19,1054,1,0
"180",94,1,8,5480,1,1
"181",94,2,16,5279,1,0
"182",95,1,37,3823,1,0
"183",96,1,6,1000,1,1
"184",96,2,16,1030,1,0
"185",97,1,28,6492,1,0
"186",98,1,9,1456,1,1
"187",98,2,12,1573,1,0
"188",99,1,3,1749,1,0
"189",100,1,3,240,1,1
"190",100,2,4,246,1,0
"191",101,1,16,1476,1,0
"192",102,1,21,3662,1,0
"193",103,1,17,1710,1,0
"194",104,1,14,3043,1,1
"195",104,2,32,3626,1,0
"196",105,1,3,662,1,0
"197",106,1,17,1647,1,0
"198",107,1,9,5726,1,1
"199",107,2,18,5000,1,0
"200",108,1,4,3516,1,1
"201",108,2,11,3254,1,1
"202",108,3,13,2952,1,1
"203",108,4,14,0,0,0
"204",109,1,17,8171,1,1
"205",109,2,33,8439,1,0
"206",110,1,10,14356,1,1
"207",110,2,23,16673,1,0
"208",111,1,4,419,1,1
"209",111,2,5,412,1,1
"210",111,3,6,393,1,1
"211",111,4,8,446,1,1
"212",111,5,10,378,1,1
"213",111,6,11,383,1,1
"214",111,7,13,414,1,1
"215",111,8,14,433,1,1
"216",111,9,15,433,1,1
"217",111,10,16,466,1,1
"218",111,11,17,544,1,1
"219",111,12,19,553,1,1
"220",111,13,20,46472,1,1
"221",111,14,21,5680,1,1
"222",111,15,26,0,0,0
"223",112,1,10,7029,1,0
"224",113,1,10,1140,1,0
"225",114,1,22,2481,1,0
"226",115,1,23,5423,1,1
"227",115,2,51,5262,1,0
"228",116,1,10,6498,1,0
"229",117,1,21,1603,1,0
"230",118,1,9,10329,1,1
"231",118,2,23,11559,1,0
"232",119,1,12,1737,1,1
"233",119,2,16,1765,1,1
"234",119,3,29,18929,1,1
"235",119,4,32,1790,1,1
"236",119,5,36,0,0,0
"237",120,1,3,316,1,0
"238",121,1,5,2505,1,1
"239",121,2,8,2012,1,1
"240",121,3,11,2402,1,0
"241",122,1,18,2208,1,1
"242",122,2,37,2127,1,1
"243",122,3,52,2000,1,1
"244",122,4,58,62100,1,1
"245",122,5,61,12659,1,0
"246",123,1,16,22007,1,1
"247",123,2,41,18686,1,0
"248",124,1,8,1642,1,0
"249",126,1,22,10000,1,0
"250",127,1,4,952,1,0
"251",128,1,12,1604,1,1
"252",128,2,19,1371,1,1
"253",128,3,28,1786,1,0
"254",129,1,5,5000,1,0
"255",130,1,22,6353,1,0
"256",131,1,9,709,1,1
"257",131,2,14,636,1,0
"258",132,1,4,23188,1,1
"259",132,2,12,31089,1,0
"260",133,1,12,788,1,1
"261",133,2,35,680,1,0
"262",134,1,6,1692,1,1
"263",134,2,9,2092,1,0
"264",135,1,4,1630,1,1
"265",135,2,9,1637,1,1
"266",135,3,13,-3397,0,1
"267",135,4,14,1464,1,0
"268",136,1,14,9203,1,0
"269",137,1,4,1178,1,0
"270",138,1,6,342,1,1
"271",138,2,8,383,1,0
"272",139,1,22,4323,1,0
"273",140,1,17,2479,1,1
"274",140,2,30,2000,1,0
"275",141,1,9,3774,1,1
"276",141,2,27,4494,1,0
"277",142,1,13,31197,1,1
"278",142,2,29,28940,1,1
"279",142,3,35,33657,1,1
"280",142,4,39,0,0,0
"281",143,1,13,3490,1,0
"282",144,1,25,12559,1,1
"283",144,2,44,15186,1,0
"284",145,1,3,325,1,0
"285",146,1,12,1347,1,1
"286",146,2,20,1732,1,0
"287",147,1,18,1123,1,0
"288",148,1,10,7911,1,0
"289",149,1,11,1738,1,1
"290",149,2,27,2000,1,1
"291",149,3,39,2000,1,1
"292",149,4,42,0,0,0
"293",150,1,13,17628,1,1
"294",150,2,39,16632,1,0
"295",151,1,6,1440,1,1
"296",151,2,13,1509,1,1
"297",151,3,16,1251,1,1
"298",151,4,18,1180,1,1
"299",151,5,22,1240,1,1
"300",151,6,27,1229,1,1
"301",151,7,33,1076,1,1
"302",151,8,39,91133,1,1
"303",151,9,41,12494,1,1
"304",151,10,42,0,0,0
"305",152,1,11,2740,1,0
"306",153,1,17,1690,1,0
"307",154,1,14,1588,1,0
"308",155,1,11,5193,1,1
"309",155,2,79,6491,1,0
"310",156,1,13,5068,1,0
"311",157,1,4,3178,1,1
"312",157,2,5,2901,1,0
"313",158,1,18,38323,1,1
"314",158,2,36,32322,1,0
"315",159,1,9,1737,1,1
"316",159,2,15,1705,1,0
"317",160,1,6,1005,1,1
"318",160,2,8,1161,1,0
"319",161,1,14,7490,1,0
"320",162,1,15,2046,1,0
"321",163,1,18,6305,1,0
"322",164,1,7,9798,1,1
"323",164,2,14,8879,1,0
"324",165,1,7,214,1,0
"325",166,1,27,9118,1,0
"326",167,1,4,3000,1,1
"327",167,2,8,2689,1,1
"328",167,3,10,41877,1,1
"329",167,4,11,5430,1,0
"330",168,1,11,12870,1,1
"331",168,2,31,11790,1,0
"332",169,1,14,18159,1,1
"333",169,2,22,21312,1,1
"334",169,3,31,20004,1,0
"335",170,1,7,1961,1,1
"336",170,2,14,1889,1,1
"337",170,3,16,2000,1,0
"338",171,1,9,535,1,0
"339",172,1,4,1107,1,1
"340",172,2,5,1000,1,1
"341",172,3,8,1116,1,0
"342",173,1,10,5803,1,1
"343",173,2,21,5900,1,0
"344",174,1,12,528,1,0
"345",175,1,9,3995,1,1
"346",175,2,21,4682,1,1
"347",175,3,28,4280,1,1
"348",175,4,33,0,0,0
"349",176,1,3,125,1,0
"350",177,1,10,1000,1,1
"351",177,2,12,1000,1,0
"352",178,1,13,1425,1,1
"353",178,2,19,1633,1,0
"354",179,1,4,1797,1,1
"355",179,2,10,2000,1,1
"356",179,3,14,1366,1,1
"357",179,4,18,44021,1,1
"358",179,5,20,3700,1,0
"359",181,1,7,296,1,1
"360",181,2,9,318,1,0
"361",182,1,31,28376,1,1
"362",182,2,62,27873,1,0
"363",183,1,16,8976,1,1
"364",183,2,32,8353,1,0
"365",185,1,21,1642,1,0
"366",186,1,8,2000,1,0
"367",187,1,14,1972,1,0
"368",188,1,7,673,1,0
"369",189,1,5,537,1,0
"370",190,1,8,1396,1,1
"371",190,2,11,1287,1,0
"372",191,1,21,2687,1,1
"373",191,2,35,3175,1,1
"374",191,3,45,3000,1,0
"375",192,1,4,305,1,1
"376",192,2,5,315,1,0
"377",193,1,6,1110,1,1
"378",193,2,12,1100,1,1
"379",193,3,17,1241,1,1
"380",193,4,21,0,0,0
"381",194,1,9,2327,1,0
"382",195,1,7,2141,1,1
"383",195,2,10,2008,1,1
"384",195,3,17,2000,1,0
"385",197,1,6,1000,1,1
"386",197,2,11,1000,1,0
"387",198,1,9,2692,1,0
"388",199,1,19,1767,1,0
"389",200,1,8,2423,1,0
"390",201,1,17,9346,1,1
"391",201,2,25,9337,1,0
"392",202,1,8,2000,1,1
"393",202,2,10,2005,1,0
"394",203,1,15,10917,1,1
"395",203,2,19,10000,1,0
"396",204,1,31,5362,1,1
"397",204,2,58,7490,1,0
"398",205,1,7,2536,1,1
"399",205,2,15,3000,1,1
"400",205,3,20,3012,1,1
"401",205,4,23,44751,1,1
"402",205,5,24,4563,1,0
"403",206,1,6,1576,1,0
"404",207,1,3,1149,1,1
"405",207,2,4,2000,1,1
"406",207,3,5,0,0,0
"407",208,1,8,2264,1,1
"408",208,2,19,2580,1,0
"409",209,1,9,722,1,0
"410",211,1,21,20099,1,1
"411",211,2,30,19761,1,0
"412",212,1,4,248,1,1
"413",212,2,8,257,1,0
"414",213,1,30,11979,1,1
"415",213,2,34,13773,1,0
"416",214,1,7,1000,1,0
"417",215,1,8,2479,1,0
"418",216,1,7,2206,1,1
"419",216,2,16,2750,1,1
"420",216,3,25,2274,1,0
"421",217,1,3,1000,1,1
"422",217,2,6,1089,1,0
"423",218,1,45,6945,1,0
"424",219,1,14,17874,1,1
"425",219,2,32,24293,1,1
"426",219,3,59,21354,1,0
"427",220,1,26,2492,1,0
"428",221,1,7,1467,1,0
"429",222,1,26,1066,1,0
"430",223,1,11,4485,1,1
"431",223,2,27,4988,1,1
"432",223,3,34,5000,1,0
"433",224,1,5,2244,1,0
"434",225,1,15,1080,1,0
"435",226,1,14,1028,1,0
"436",227,1,13,2000,1,1
"437",227,2,15,1786,1,1
"438",227,3,18,1805,1,1
"439",227,4,23,1975,1,1
"440",227,5,28,2189,1,1
"441",227,6,32,155017,1,1
"442",227,7,33,20446,1,0
"443",227,8,36,0,0,1
"444",227,9,40,31022,1,0
"445",228,1,13,6282,1,0
"446",229,1,12,7080,1,1
"447",229,2,26,8542,1,0
"448",230,1,11,3876,1,0
"449",231,1,36,2082,1,0
"450",232,1,22,3584,1,0
"451",233,1,30,6451,1,1
"452",233,2,53,7561,1,0
"453",234,1,8,1100,1,1
"454",234,2,12,1000,1,0
"455",235,1,8,487,1,1
"456",235,2,13,527,1,1
"457",235,3,16,473,1,1
"458",235,4,19,496,1,1
"459",235,5,21,24740,1,1
"460",235,6,22,2155,1,0
"461",236,1,17,6635,1,1
"462",236,2,30,7269,1,0
"463",237,1,12,3703,1,0
"464",238,1,4,6907,1,1
"465",238,2,6,6117,1,0
"466",239,1,13,2127,1,1
"467",239,2,17,2028,1,0
"468",240,1,3,452,1,1
"469",240,2,4,412,1,0
"470",241,1,5,1000,1,0
"471",242,1,25,2000,1,0
"472",243,1,17,3000,1,0
"473",245,1,21,26512,1,1
"474",245,2,44,28776,1,0
"475",246,1,5,10000,1,1
"476",246,2,19,10021,1,0
"477",246,3,24,3256,1,1
"478",246,4,25,0,0,0
"479",247,1,20,3000,1,0
"480",248,1,14,5217,1,1
"481",248,2,20,5256,1,0
"482",249,1,39,10000,1,0
"483",250,1,15,2743,1,0
"484",252,1,4,12625,1,1
"485",252,2,8,13187,1,1
"486",252,3,14,12744,1,0
"487",253,1,18,6602,1,1
"488",253,2,33,7594,1,0
"489",254,1,10,1695,1,1
"490",254,2,13,1053,1,1
"491",254,3,17,1476,1,0
"492",255,1,9,4207,1,0
"493",256,1,9,765,1,1
"494",256,2,12,784,1,1
"495",256,3,17,1000,1,1
"496",256,4,23,860,1,1
"497",256,5,28,1000,1,1
"498",256,6,35,47676,1,1
"499",256,7,36,5253,1,0
"500",257,1,10,1077,1,0
"501",258,1,6,392,1,1
"502",258,2,10,396,1,0
"503",259,1,31,3174,1,0
"504",260,1,12,11390,1,1
"505",260,2,21,10653,1,1
"506",260,3,38,10000,1,0
"507",261,1,11,628,1,0
"508",262,1,16,14384,1,1
"509",262,2,37,17782,1,1
"510",262,3,52,18731,1,0
"511",263,1,21,5033,1,0
"512",264,1,10,18438,1,1
"513",264,2,23,20216,1,1
"514",264,3,49,21206,1,0
"515",265,1,29,8707,1,0
"516",266,1,13,2682,1,1
"517",266,2,22,3591,1,1
"518",266,3,29,3360,1,1
"519",266,4,34,0,0,0
"520",268,1,16,4081,1,1
"521",268,2,34,4786,1,1
"522",268,3,46,3897,1,0
"523",269,1,28,8783,1,0
"524",271,1,16,5282,1,0
"525",272,1,19,11652,1,1
"526",272,2,34,13115,1,1
"527",272,3,46,11557,1,0
"528",273,1,15,1513,1,0
"529",274,1,32,9190,1,0
"530",275,1,9,4636,1,1
"531",275,2,19,5647,1,0
"532",276,1,20,2259,1,0
"533",277,1,29,4416,1,0
"534",278,1,5,333,1,0
"535",279,1,9,2879,1,1
"536",279,2,15,2348,1,0
"537",280,1,10,4265,1,0
"538",281,1,11,966,1,0
"539",282,1,19,6964,1,0
"540",284,1,9,10027,1,1
"541",284,2,12,9250,1,0
"542",285,1,9,1486,1,1
"543",285,2,16,1219,1,0
"544",286,1,15,1409,1,0
"545",287,1,5,7622,1,0
"546",288,1,8,1847,1,1
"547",288,2,11,1630,1,0
"548",289,1,8,2594,1,0
"549",290,1,8,1898,1,1
"550",290,2,12,2261,1,0
"551",291,1,36,7082,1,1
"552",291,2,45,5748,1,0
"553",292,1,15,3126,1,1
"554",292,2,30,2780,1,1
"555",292,3,43,3027,1,0
"556",293,1,13,4543,1,1
"557",293,2,22,4656,1,0
"558",294,1,3,3879,1,0
"559",295,1,11,4245,1,1
"560",295,2,18,5120,1,0
"561",296,1,17,3343,1,0
"562",297,1,17,1415,1,1
"563",297,2,30,1488,1,1
"564",297,3,42,1310,1,1
"565",297,4,76,55138,1,1
"566",297,5,80,7188,1,1
"567",297,6,85,0,0,0
"568",298,1,11,1000,1,0
"569",299,1,10,1303,1,0
"570",300,1,8,515,1,0
"571",302,1,12,1999,1,1
"572",302,2,17,1768,1,1
"573",302,3,21,1805,1,1
"574",302,4,22,0,0,0
"575",303,1,5,307,1,0
"576",304,1,8,5068,1,1
"577",304,2,15,4149,1,0
"578",305,1,10,1558,1,1
"579",305,2,18,2000,1,1
"580",305,3,21,2347,1,0
"581",306,1,8,6161,1,1
"582",306,2,17,5366,1,0
"583",307,1,12,6632,1,1
"584",307,2,17,6435,1,1
"585",307,3,28,7373,1,0
"586",308,1,9,4433,1,0
"587",309,1,22,5594,1,1
"588",309,2,39,5650,1,1
"589",309,3,57,5515,1,1
"590",309,4,61,0,0,0
"591",310,1,5,1505,1,1
"592",310,2,10,2208,1,0
"593",311,1,10,1194,1,1
"594",311,2,16,1401,1,1
"595",311,3,22,1382,1,0
"596",312,1,8,1000,1,1
"597",312,2,15,1098,1,0
"598",313,1,19,1345,1,1
"599",313,2,32,1056,1,1
"600",313,3,46,32764,1,1
"601",313,4,48,4139,1,1
"602",313,5,53,-15358,0,1
"603",313,6,56,0,0,0
"604",314,1,8,8029,1,1
"605",314,2,17,7723,1,1
"606",314,3,22,7858,1,0
"607",315,1,36,6424,1,1
"608",315,2,46,6430,1,0
"609",316,1,4,292,1,1
"610",316,2,7,342,1,0
"611",317,1,5,188,1,1
"612",317,2,8,183,1,0
"613",318,1,10,3000,1,0
"614",319,1,4,285,1,0
"615",320,1,15,6521,1,1
"616",320,2,22,5889,1,0
"617",321,1,7,7541,1,1
"618",321,2,13,8923,1,0
"619",322,1,8,3560,1,1
"620",322,2,11,3272,1,0
"621",323,1,10,1261,1,0
"622",324,1,4,144,1,0
"623",325,1,6,1313,1,1
"624",325,2,8,1449,1,1
"625",325,3,9,1617,1,1
"626",325,4,12,1485,1,1
"627",325,5,15,1580,1,1
"628",325,6,17,1425,1,1
"629",325,7,21,1439,1,1
"630",325,8,24,1454,1,1
"631",325,9,25,1244,1,1
"632",325,10,29,1666,1,1
"633",325,11,31,214129,1,1
"634",325,12,33,-23670,0,1
"635",325,13,38,29370,1,0
"636",326,1,43,13851,1,1
"637",326,2,66,17340,1,0
"638",327,1,26,3457,1,0
"639",328,1,17,1334,1,0
"640",329,1,6,2618,1,1
"641",329,2,19,3317,1,0
"642",331,1,12,4337,1,0
"643",332,1,8,1032,1,0
"644",333,1,6,5260,1,1
"645",333,2,14,5000,1,0
"646",334,1,21,3027,1,0
"647",335,1,5,1710,1,1
"648",335,2,7,2000,1,1
"649",335,3,8,26863,1,1
"650",335,4,9,4746,1,0
"651",336,1,13,2000,1,0
"652",337,1,12,7838,1,1
"653",337,2,29,7624,1,0
"654",338,1,8,1235,1,1
"655",338,2,10,1419,1,1
"656",338,3,13,1426,1,0
"657",339,1,10,1000,1,0
"658",340,1,11,1378,1,0
"659",341,1,20,4378,1,1
"660",341,2,33,5262,1,0
"661",342,1,24,13928,1,1
"662",342,2,46,15942,1,1
"663",342,3,74,14886,1,1
"664",342,4,79,0,0,0
"665",343,1,6,1494,1,0
"666",344,1,6,1451,1,1
"667",344,2,12,2000,1,1
"668",344,3,16,1663,1,0
"669",345,1,6,1651,1,1
"670",345,2,9,1793,1,0
"671",346,1,27,1310,1,0
"672",347,1,22,1013,1,0
"673",348,1,10,2430,1,0
"674",350,1,9,1662,1,0
"675",351,1,27,10208,1,0
"676",352,1,28,2442,1,0
"677",353,1,10,1610,1,1
"678",353,2,16,2000,1,1
"679",353,3,29,20000,1,1
"680",353,4,33,2260,1,0
"681",354,1,11,2000,1,0
"682",355,1,16,652,1,0
"683",357,1,15,1455,1,1
"684",357,2,27,1481,1,1
"685",357,3,35,1551,1,1
"686",357,4,37,0,0,0
"687",358,1,5,689,1,0
"688",359,1,3,44,1,0
"689",360,1,6,12552,1,1
"690",360,2,15,13942,1,1
"691",360,3,23,13567,1,0
"692",361,1,9,2070,1,1
"693",361,2,18,2478,1,1
"694",361,3,22,2796,1,1
"695",361,4,23,0,0,0
"696",363,1,5,2198,1,0
"697",364,1,33,9511,1,0
"698",365,1,17,13883,1,1
"699",365,2,44,13080,1,0
"700",366,1,18,6168,1,1
"701",366,2,28,6478,1,0
"702",367,1,10,3583,1,0
"703",368,1,6,610,1,1
"704",368,2,8,529,1,0
"705",369,1,12,3000,1,0
"706",370,1,4,1412,1,1
"707",370,2,8,1363,1,1
"708",370,3,12,1311,1,0
"709",371,1,5,59,1,1
"710",371,2,6,64,1,0
"711",372,1,13,564,1,0
"712",373,1,13,3238,1,0
"713",374,1,10,6275,1,1
"714",374,2,16,6198,1,0
"715",375,1,19,5380,1,0
"716",376,1,9,664,1,0
"717",377,1,14,9325,1,0
"718",378,1,8,3463,1,0
"719",379,1,9,1190,1,1
"720",379,2,12,1276,1,1
"721",379,3,19,1011,1,0
"722",380,1,21,2405,1,0
"723",381,1,9,1355,1,0
"724",382,1,13,8120,1,1
"725",382,2,27,7470,1,0
"726",383,1,17,1092,1,0
"727",384,1,7,539,1,1
"728",384,2,10,443,1,1
"729",384,3,12,522,1,1
"730",384,4,14,438,1,1
"731",384,5,18,494,1,1
"732",384,6,20,448,1,1
"733",384,7,26,20499,1,1
"734",384,8,27,2000,1,0
"735",385,1,16,2000,1,0
"736",386,1,12,6074,1,1
"737",386,2,25,5628,1,0
"738",387,1,9,15105,1,1
"739",387,2,16,16768,1,0
"740",388,1,9,1000,1,0
"741",389,1,10,382,1,0
"742",390,1,21,1240,1,0
"743",391,1,21,5907,1,1
"744",391,2,30,6022,1,0
"745",392,1,18,4525,1,1
"746",392,2,32,4351,1,0
"747",393,1,16,5707,1,1
"748",393,2,22,5817,1,0
"749",394,1,4,4028,1,0
"750",395,1,7,8245,1,0
"751",396,1,6,422,1,0
"752",397,1,21,3181,1,0
"753",398,1,11,1000,1,0
"754",399,1,27,5445,1,1
"755",399,2,42,5154,1,0
"756",400,1,37,8793,1,1
"757",400,2,46,9074,1,0
"758",401,1,7,1840,1,1
"759",401,2,10,1666,1,1
"760",401,3,12,2181,1,0
"761",402,1,6,1729,1,1
"762",402,2,12,2000,1,1
"763",402,3,14,1571,1,1
"764",402,4,19,1799,1,1
"765",402,5,23,49371,1,1
"766",402,6,24,8790,1,1
"767",402,7,25,0,0,0
"768",402,8,26,0,0,1
"769",402,9,27,10340,1,0
"770",403,1,4,2287,1,0
"771",404,1,6,637,1,0
"772",405,1,5,2238,1,1
"773",405,2,12,2073,1,1
"774",405,3,14,2000,1,0
"775",406,1,13,10793,1,1
"776",406,2,19,12150,1,0
"777",407,1,6,791,1,1
"778",407,2,13,740,1,1
"779",407,3,18,736,1,1
"780",407,4,24,1000,1,1
"781",407,5,26,792,1,1
"782",407,6,32,28218,1,1
"783",407,7,35,2603,1,0
"784",408,1,9,5436,1,0
"785",409,1,18,3000,1,0
"786",410,1,8,5442,1,0
"787",411,1,4,705,1,0
"788",412,1,9,1429,1,0
"789",413,1,16,5314,1,1
"790",413,2,47,5966,1,0
"791",414,1,48,3665,1,0
"792",415,1,7,1034,1,1
"793",415,2,10,1133,1,0
"794",416,1,11,1707,1,0
"795",417,1,9,1747,1,1
"796",417,2,12,2000,1,1
"797",417,3,18,1513,1,0
"798",418,1,15,817,1,0
"799",419,1,28,5205,1,1
"800",419,2,66,7101,1,0
"801",420,1,6,144,1,0
"802",421,1,14,1203,1,1
"803",421,2,22,1246,1,0
"804",422,1,16,3568,1,1
"805",422,2,30,4485,1,0
"806",423,1,12,687,1,1
"807",423,2,14,1000,1,0
"808",424,1,9,1000,1,0
"809",425,1,8,11308,1,1
"810",425,2,13,13343,1,1
"811",425,3,16,13329,1,0
"812",426,1,4,1029,1,1
"813",426,2,6,1137,1,1
"814",426,3,8,1000,1,1
"815",426,4,12,-1414,0,0
"816",427,1,11,2000,1,1
"817",427,2,20,2000,1,1
"818",427,3,23,1830,1,0
"819",428,1,13,6113,1,1
"820",428,2,25,7071,1,0
"821",429,1,5,1386,1,0
"822",430,1,9,26075,1,1
"823",430,2,22,23644,1,0
"824",431,1,12,10080,1,1
"825",431,2,23,10000,1,1
"826",431,3,36,-16683,0,1
"827",431,4,37,11337,1,1
"828",431,5,39,0,0,0
"829",432,1,32,3241,1,0
"830",433,1,16,1000,1,0
"831",434,1,16,1155,1,0
"832",435,1,35,4358,1,0
"833",436,1,6,2541,1,0
"834",437,1,10,511,1,0
"835",438,1,12,2849,1,0
"836",439,1,22,6626,1,1
"837",439,2,39,8164,1,0
"838",440,1,19,19239,1,1
"839",440,2,35,19519,1,1
"840",440,3,52,22116,1,0
"841",442,1,12,1797,1,0
"842",443,1,44,2002,1,0
"843",444,1,25,3099,1,0
"844",445,1,7,2699,1,0
"845",446,1,25,1110,1,1
"846",446,2,40,1199,1,1
"847",446,3,50,1183,1,1
"848",446,4,54,0,0,0
"849",447,1,25,7060,1,1
"850",447,2,41,6762,1,0
"851",448,1,6,328,1,0
"852",449,1,25,9772,1,1
"853",449,2,41,11170,1,0
"854",450,1,13,583,1,0
"855",451,1,8,733,1,0
"856",452,1,10,3689,1,1
"857",452,2,16,3000,1,0
"858",453,1,27,8205,1,1
"859",453,2,35,8747,1,0
"860",454,1,49,6230,1,0
"861",455,1,8,1057,1,1
"862",455,2,13,1007,1,1
"863",455,3,19,1000,1,1
"864",455,4,25,17366,1,1
"865",455,5,26,2000,1,0
"866",456,1,14,3957,1,0
"867",457,1,18,2710,1,0
"868",458,1,13,1586,1,1
"869",458,2,24,1398,1,1
"870",458,3,35,2000,1,1
"871",458,4,38,0,0,0
"872",460,1,7,133,1,0
"873",461,1,10,2976,1,1
"874",461,2,25,2688,1,0
"875",462,1,8,4018,1,0
"876",463,1,5,2461,1,1
"877",463,2,6,2568,1,1
"878",463,3,10,2928,1,1
"879",463,4,12,0,0,0
